縣市代碼,縣市名稱,學校代碼,學校名稱,專任教師數男,專任教師數女,兼任教師數男,兼任教師數女,職員數男,職員數女,班級數,學生數男,學生數女,上學年畢業生數男,上學年畢業生數女,lat,lng
17,基隆市,171308,輔大聖心高中,10,15,0,0,2,5,12,177,91,77,35,25.1353145,121.7338675
21,臺南市,211314,私立六信高中,12,11,10,11,2,5,24,286,215,80,73,22.9742224,120.202586
21,臺南市,211315,私立瀛海高中,36,34,0,0,2,10,24,642,425,207,127,23.0350309,120.2113593
21,臺南市,211317,臺南市崑山高中,5,13,26,16,0,1,15,65,110,49,38,23.0110042,120.2263303
21,臺南市,211318,私立德光高中,38,76,7,8,4,25,24,567,554,171,189,22.9798586,120.2214007
21,臺南市,211320,財團法人慈濟高中,31,52,2,6,6,12,18,291,248,93,87,23.999868,121.5741826
21,臺南市,213303,市立南寧高中,28,43,0,0,4,6,12,175,152,67,56,22.935473,120.186614
21,臺南市,213316,市立土城高中,16,30,3,9,1,8,9,111,123,40,38,23.0574603,120.1505744
30,臺北市,313301,市立西松高中,40,70,2,6,9,12,33,610,454,191,137,25.0553554,121.5671134
30,臺北市,313302,市立中崙高中,36,107,4,6,7,19,30,565,510,164,180,25.0487115,121.5611909
30,臺北市,321399,臺北市私立協和祐德高級中學,14,8,13,9,4,5,15,235,57,140,20,25.04252,121.5835426
30,臺北市,323301,市立松山高中,49,103,9,20,8,30,61,1106,1051,376,375,25.0434938,121.5654685
30,臺北市,323302,市立永春高中,45,74,6,7,6,16,46,799,780,180,279,25.032802,121.5785567
30,臺北市,330301,國立師大附中,97,150,37,80,13,37,78,1873,911,617,280,25.0336592,121.5404218
30,臺北市,331301,私立延平中學,53,80,0,0,8,12,24,674,442,269,163,25.0363216,121.5384679
30,臺北市,331302,私立金甌女中,14,52,0,0,3,7,28,0,1017,0,375,25.034768,121.5241819
30,臺北市,331304,私立復興實驗高中,32,47,0,0,14,7,10,235,244,87,61,25.0394418,121.5484403
30,臺北市,333301,市立和平高中,44,111,0,0,9,17,40,759,627,254,198,25.0196314,121.5491522
30,臺北市,333304,市立芳和實中,20,65,0,0,1,10,3,22,21,0,0,25.0329636,121.5654268
30,臺北市,341302,私立大同高中,18,17,7,5,5,7,20,470,251,167,95,25.0665289,121.5212887
30,臺北市,343301,市立中山女中,54,112,6,14,4,23,65,0,2279,0,765,25.0485108,121.5372111
30,臺北市,343302,市立大同高中,51,123,9,18,16,14,48,1047,621,289,261,25.0550217,121.5352723
30,臺北市,343303,市立大直高中,45,100,5,3,6,19,30,540,503,177,169,25.07886,121.543375
30,臺北市,351301,私立強恕中學,9,14,5,11,4,4,25,223,399,91,78,25.0250348,121.5199538
30,臺北市,353301,市立建國中學,106,106,0,14,16,20,83,2895,0,981,0,25.0311123,121.5121811
30,臺北市,353302,市立成功中學,67,96,4,11,8,19,66,2367,0,807,0,25.0423722,121.5236574
30,臺北市,353303,市立北一女中,56,124,3,13,6,22,69,0,2417,0,833,25.0385655,121.513098
30,臺北市,361301,臺北市靜修高中,12,63,2,6,4,6,21,42,793,2,267,25.057931,121.5154866
30,臺北市,363301,市立明倫高中,43,70,7,10,7,16,46,892,733,255,257,25.0762461,121.5193385
30,臺北市,363302,市立成淵高中,51,118,0,0,6,23,36,688,555,224,186,25.0614213,121.5185204
30,臺北市,373301,市立華江高中,44,77,1,6,8,15,49,758,951,222,279,25.0279587,121.4971355
30,臺北市,373302,市立大理高中,43,57,0,0,4,19,27,496,423,141,139,25.0308614,121.4912045
30,臺北市,380301,國立政大附中,22,50,0,0,4,13,18,330,288,122,82,24.9871265,121.5858355
30,臺北市,381301,私立東山高中,65,97,0,0,5,26,34,1040,545,384,211,24.9733741,121.5615447
30,臺北市,381302,私立滬江高中,15,23,20,6,4,10,26,293,159,137,73,24.9894519,121.5389166
30,臺北市,381303,私立大誠高中,12,4,9,3,1,8,18,162,84,51,18,24.9909268,121.5781913
30,臺北市,381304,私立再興中學,41,50,0,0,7,12,18,471,326,126,136,24.9901829,121.5582292
30,臺北市,381305,私立景文高中,32,47,12,10,5,17,28,468,406,189,140,24.9853665,121.5673971
30,臺北市,381306,臺北市靜心高中,26,38,2,1,4,14,8,114,91,0,0,24.9988631,121.5467337
30,臺北市,383301,市立景美女中,36,107,1,1,6,21,56,0,1979,0,689,24.9807371,121.5561748
30,臺北市,383302,市立萬芳高中,46,101,8,5,8,22,33,599,569,148,184,25.0006248,121.5589135
30,臺北市,393301,市立南港高中,44,107,0,0,13,16,30,495,516,144,155,25.052412,121.595026
30,臺北市,393302,市立育成高中,46,94,0,0,10,22,58,893,909,235,295,25.0580409,121.6092336
30,臺北市,401301,私立文德女中,1,3,14,3,1,5,3,0,56,0,29,25.0776217,121.5895146
30,臺北市,401302,私立方濟中學,15,8,4,4,1,3,8,190,74,80,31,25.0773094,121.5905296
30,臺北市,401303,私立達人女中,12,41,5,8,1,11,9,0,351,0,121,25.0812081,121.5876596
30,臺北市,403301,市立內湖高中,52,95,1,13,7,19,59,1022,1033,295,320,25.0783868,121.5866053
30,臺北市,403302,市立麗山高中,30,59,0,0,6,14,33,593,349,214,105,25.0851252,121.5780273
30,臺北市,403303,市立南湖高中,44,74,1,2,6,21,46,833,727,241,251,25.0664602,121.6105269
30,臺北市,411301,私立泰北高中,24,33,10,8,4,12,23,289,379,113,128,25.097375,121.533898
30,臺北市,411302,私立衛理女中,14,53,0,2,4,24,12,0,478,0,175,25.1017466,121.5523894
30,臺北市,411303,私立華興中學,33,28,0,0,9,5,6,167,106,41,30,25.1050855,121.5385223
30,臺北市,413301,市立陽明高中,43,102,5,11,4,24,39,685,689,234,210,25.0922121,121.5172424
30,臺北市,413302,市立百齡高中,45,117,0,0,9,16,27,533,406,159,143,25.0870549,121.5229998
30,臺北市,421301,私立薇閣高中,62,75,0,0,5,8,24,638,527,189,168,25.1395247,121.5039712
30,臺北市,421302,臺北市幼華高中,14,31,15,24,1,6,17,246,151,94,52,25.1334354,121.4968537
30,臺北市,421303,臺北市私立奎山實驗高級中學,10,14,0,0,1,0,3,55,73,22,14,25.112998,121.5223028
30,臺北市,423301,市立復興高中,73,94,0,0,7,21,67,911,1089,200,351,25.143626,121.501768
30,臺北市,423302,市立中正高中,58,111,3,7,9,17,67,1233,1063,344,346,25.1041727,121.5166212
50,高雄市,521301,天主教明誠高中,34,34,4,4,5,18,16,231,244,98,82,22.666246,120.292014
50,高雄市,521303,私立大榮高中,31,18,11,4,5,9,23,521,31,200,5,22.6535429,120.2801989
50,高雄市,523301,市立鼓山高中,34,76,4,4,6,11,27,317,341,93,97,22.6520055,120.2747089
50,高雄市,533301,市立左營高中,44,81,8,18,3,16,54,715,819,194,282,22.6933029,120.2961624
50,高雄市,533302,市立新莊高中,35,74,7,6,2,13,45,837,663,264,223,22.6813675,120.3175826
50,高雄市,540301,國立中山大學附屬國光高中,34,51,4,3,7,8,18,324,312,98,113,22.7082782,120.3050243
50,高雄市,543301,市立中山高中,28,60,1,6,3,12,42,669,707,185,267,22.728652,120.2927492
50,高雄市,543302,市立楠梓高中,31,49,2,3,4,10,30,405,447,77,102,22.7439985,120.3316666
50,高雄市,551301,私立立志高中,54,43,27,11,13,10,81,1367,509,565,234,22.6533576,120.3264762
50,高雄市,551303,南海月光實驗學校,4,30,0,0,0,1,3,16,15,8,2,22.6080409,120.4270968
50,高雄市,553301,市立高雄中學,87,82,17,57,6,17,72,2459,111,849,44,22.6383194,120.2980028
50,高雄市,553302,市立三民高中,33,56,0,0,6,10,36,613,569,172,192,25.0868693,121.4737065
50,高雄市,563301,市立新興高中,38,74,2,4,3,14,21,331,343,92,115,22.6243825,120.3041272
50,高雄市,573301,市立高雄女中,47,100,1,3,5,16,63,0,2254,0,800,22.6212858,120.2928418
50,高雄市,580301,國立高師大附中,26,62,4,9,2,17,24,665,201,178,108,22.6260694,120.3222549
50,高雄市,581301,私立復華高中,28,45,7,5,2,11,34,447,549,175,257,22.621182,120.313424
50,高雄市,581302,天主教道明中學,67,97,2,5,3,18,43,935,1002,303,319,22.6338273,120.3228343
50,高雄市,583301,市立中正高中,37,101,4,9,6,14,33,565,545,190,168,25.1041727,121.5166212
50,高雄市,593301,市立前鎮高中,46,53,5,11,4,14,45,718,767,198,264,22.5879884,120.3192383
50,高雄市,593302,市立瑞祥高中,60,121,7,5,5,19,27,483,386,167,143,22.6016779,120.3248846
50,高雄市,613301,市立小港高中,42,69,1,2,7,9,45,627,740,178,255,22.5644955,120.3567887
71,金門縣,710301,國立金門高中,39,37,0,0,7,11,30,439,501,106,133,24.4349442,118.3137113
72,連江縣,720301,國立馬祖高中,19,16,0,0,9,6,12,135,97,52,44,26.1544475,119.9498791
1,新北市,11405,私立樹人家商,25,79,22,23,2,16,61,1039,1456,275,506,24.994468,121.4192578
1,新北市,11407,私立復興商工,40,53,29,16,6,19,73,1011,2074,328,692,25.003454,121.518399
1,新北市,11408,私立南強工商,30,25,19,15,5,15,40,606,386,205,167,24.9808412,121.5448562
1,新北市,11413,私立穀保家商,22,53,27,11,2,12,41,760,918,208,314,25.0693157,121.4710759
1,新北市,11419,私立開明工商,3,3,13,7,3,3,6,98,48,126,59,24.9800534,121.5462266
1,新北市,11420,私立智光商工,24,38,14,8,3,12,40,731,410,276,156,24.9956844,121.5142997
1,新北市,11421,私立清傳高商,3,14,2,7,4,5,9,111,199,48,55,25.0520106,121.4768683
1,新北市,11426,私立能仁家商,20,39,28,31,8,13,60,702,922,259,345,24.9579932,121.5401745
1,新北市,11427,私立豫章工商,11,28,9,4,5,10,23,517,235,200,107,24.9972245,121.4590085
1,新北市,11431,私立莊敬工家,100,96,74,75,39,27,117,2452,2798,402,578,24.98555,121.5320166
1,新北市,11432,私立中華商海,6,2,5,0,1,2,10,81,17,18,6,25.1774912,121.6860542
1,新北市,13402,市立瑞芳高工,68,60,6,1,16,17,53,716,240,228,73,25.1107886,121.8036958
1,新北市,13430,市立三重商工,83,98,14,9,16,19,77,1523,707,418,241,25.0693564,121.481217
1,新北市,13433,市立新北高工,115,87,0,0,12,21,92,2158,435,578,160,24.9824,121.4513028
1,新北市,13434,市立淡水商工,85,113,0,0,16,16,81,1318,909,289,271,25.1873489,121.454254
1,新北市,14439,市立鶯歌工商,60,100,0,0,11,14,63,877,976,197,296,24.9393742,121.3351073
1,新北市,14468,市立樟樹國際實中,36,78,2,6,3,12,18,153,272,41,73,25.0659397,121.6398933
2,宜蘭縣,20403,國立宜蘭高商,46,77,0,0,13,11,48,767,723,184,236,24.7552719,121.7654572
2,宜蘭縣,20404,國立羅東高商,50,65,0,0,5,14,48,583,790,155,237,24.6726722,121.756686
2,宜蘭縣,20405,國立蘇澳海事,50,39,7,5,14,18,35,390,177,141,67,24.594231,121.8445872
2,宜蘭縣,20407,國立羅東高工,93,34,0,0,16,17,45,1278,134,357,25,24.6704012,121.7512832
2,宜蘭縣,20409,國立頭城家商,37,68,0,0,6,17,44,474,503,85,172,24.8513546,121.8160472
3,桃園市,30403,國立北科大附屬桃園農工,108,98,6,6,22,24,83,2021,399,601,107,24.9952277,121.3206408
3,桃園市,31414,私立成功工商,24,24,21,5,8,11,47,732,446,316,159,24.9888384,121.3411664
3,桃園市,31415,私立方曙商工,13,17,3,6,0,2,18,85,69,43,11,24.8579318,121.2008338
3,桃園市,31421,私立永平工商,48,83,35,21,19,21,129,2310,1683,702,580,24.919795,121.17523
3,桃園市,33407,市立中壢高商,45,111,0,3,8,15,60,731,1139,227,361,24.962135,121.214913
3,桃園市,33408,市立中壢家商,19,60,0,2,5,17,29,193,730,43,235,24.962135,121.214913
