站點UID,站點ID,站點名稱,站點地址,假日自行車進出與否,lat,lng
KRTC-O7,O7,文化中心,高雄市苓雅區中正二路45號地下一層,True,22.630224,120.317632
KRTC-O8,O8,五塊厝,高雄市苓雅區中正一路286號地下一層,True,22.629413,120.327731
KRTC-O9,O9,技擊館,高雄市苓雅區中正一路99號地下一層,True,22.6272,120.33465100000001
KRTC-O10,O10,衛武營,高雄市苓雅區中正一路2號地下一層,True,22.625055,120.341045
KRTC-O11,O11,鳳山西站,高雄市鳳山區自由路281號地下層,True,22.625273,120.348118
KRTC-O12,O12,鳳山,高雄市鳳山區光遠路446號地下層,True,22.625953,120.355166
KRTC-O13,O13,大東,高雄市鳳山區光遠路226號地下一層,True,22.625178,120.363497
KRTC-O14,O14,鳳山國中,高雄市鳳山區中山東路225號地下一層,True,22.624862,120.372657
KRTC-OT1,OT1,大寮,高雄市大寮區捷西路300號,True,22.622122,120.390528
KRTC-R3,R3,小港,高雄市小港區沿海一路280號地下一樓,True,22.56459,120.353802
TYMC-A1,A1,台北車站,台北市中正區鄭州路8號,True,25.04869,121.51428
TYMC-A2,A2,三重站,新北市三重區捷運路36號,True,25.0548,121.48273
TYMC-A3,A3,新北產業園區站,新北市新莊區五工路37號,True,25.06171,121.45918
TYMC-A4,A4,新莊副都心站,新北市新莊區新北大道四段188號,True,25.05924,121.44561000000002
TYMC-A5,A5,泰山站,新北市泰山區新北大道四段431號,True,25.05321,121.43943
TYMC-A6,A6,泰山貴和站,新北市泰山區新北大道六段460號,True,25.03321,121.42262
TYMC-A7,A7,體育大學站,桃園市龜山區文化一路688號,True,25.04124,121.38543
TYMC-A8,A8,長庚醫院站,桃園市龜山區文化一路6號,True,25.06053,121.37073000000001
TYMC-A9,A9,林口站,新北市林口區八德路290號,True,25.0658,121.36133999999998
TYMC-A10,A10,山鼻站,桃園市蘆竹區南山路三段155號,True,25.0808,121.28476
TYMC-A11,A11,坑口站,桃園市蘆竹區坑菓路460號,True,25.08646,121.26637
TYMC-A12,A12,機場第一航廈站,桃園市大園區航站南路17之1號,True,25.0814,121.23783
TYMC-A13,A13,機場第二航廈站,桃園市大園區航站南路9號地下一層之1號,True,25.07735,121.23213
TYMC-A14a,A14a,機場旅館站,桃園市大園區航站南路1之2號,True,25.07007,121.22142
TYMC-A15,A15,大園站,桃園市大園區橫湳一路50號,True,25.05595,121.21048
TYMC-A16,A16,橫山站,桃園市大園區大竹南路1180號,True,25.03665,121.21556000000001
TYMC-A17,A17,領航站,桃園市大園區橫峰里37鄰領航北路四段351號,True,25.02417,121.22095
TYMC-A18,A18,高鐵桃園站,桃園市中壢區青埔里2鄰高鐵北路一段5號,True,25.01374,121.21406
TYMC-A19,A19,桃園體育園區站,桃園市中壢區芝芭里1鄰高鐵南路二段350號,True,25.00199,121.20348999999999
TYMC-A20,A20,興南站,桃園市中壢區興和里6鄰中豐北路一段685號,True,24.98025,121.21627
TYMC-A21,A21,環北站,桃園市中壢區中豐北路一段26號,True,24.96722,121.22113999999999
TRTC-BL01,BL01,頂埔,236040新北市土城區中央路4段51之6號B3,True,24.96012,121.4205
TRTC-BL02,BL02,永寧,236036新北市土城區中央路3段105號B1,True,24.966820000000002,121.43613
TRTC-BL03,BL03,土城,236017新北市土城區金城路1段105號B1,True,24.973129999999998,121.44431999999999
TRTC-BL04,BL04,海山,236023新北市土城區海山路39號B2,True,24.985305,121.44873
TRTC-BL05,BL05,亞東醫院,220056新北市板橋區南雅南路2段17號B1,True,24.998279999999998,121.45246499999999
TRTC-BL06,BL06,府中,220052新北市板橋區縣民大道1段193號B1,True,25.008465,121.459276
TRTC-BL07,BL07,板橋,220073新北市板橋區站前路5號B1,True,25.013825,121.462305
TRTC-BL08,BL08,新埔,220030新北市板橋區民生路3段2號B1,True,25.02327,121.468055
TRTC-BL09,BL09,江子翠,220016新北市板橋區文化路2段296號B1,True,25.030265,121.47256999999999
TRTC-BL10,BL10,龍山寺,108015臺北市萬華區西園路1段153號,True,25.03528,121.500325
TRTC-BL11,BL11,西門,100005臺北市中正區寶慶路32之1號B1,True,25.042025,121.508175
TRTC-BL12,BL12,台北車站,100009臺北市中正區忠孝西路1段49號,False,25.046310000000002,121.51741499999999
TRTC-BL13,BL13,善導寺,100024臺北市中正區忠孝東路1段58號B1,True,25.04468,121.523885
TRTC-BL14,BL14,忠孝新生,106083臺北市大安區新生南路1段67號,True,25.042498000000002,121.53321000000001
TRTC-BL15,BL15,忠孝復興,106071臺北市大安區忠孝東路4段47號,False,25.041749,121.54502600000001
TRTC-BL16,BL16,忠孝敦化,106057臺北市大安區忠孝東路4段182號,True,25.041504999999997,121.55045
TRTC-BL17,BL17,國父紀念館,110054臺北市信義區忠孝東路4段400號,True,25.04137,121.55781499999999
TRTC-BL18,BL18,市政府,110060臺北市信義區忠孝東路5段2號,True,25.041135,121.56568500000002
TRTC-BL19,BL19,永春,110037臺北市信義區忠孝東路5段455號,True,25.040855,121.5762
TRTC-BL20,BL20,後山埤,115025臺北市南港區忠孝東路6段2號,True,25.044715,121.58227
TRTC-BL21,BL21,昆陽,115007臺北市南港區忠孝東路6段451號,True,25.050459,121.593228
TRTC-BL22,BL22,南港,115011臺北市南港區忠孝東路7段380號,True,25.052035,121.60696999999999
TRTC-BL23,BL23,南港展覽館,板南線：115021臺北市南港區研究院路1段1號,True,25.054919,121.61686100000001
TRTC-BR01,BR01,動物園,116016臺北市文山區新光路2段32號,False,24.998205,121.57950100000001
TRTC-BR02,BR02,木柵,116027臺北市文山區木柵路4段135號,False,24.99824,121.573127
TRTC-BR03,BR03,萬芳社區,116027臺北市文山區萬芳路60號,False,24.99857,121.56808799999999
TRTC-BR04,BR04,萬芳醫院,116081臺北市文山區興隆路3段113號,False,24.99932,121.55809199999999
TRTC-BR05,BR05,辛亥,116081臺北市文山區辛亥路4段128號,False,25.005454999999998,121.557046
TRTC-BR06,BR06,麟光,106043臺北市大安區和平東路3段410號,False,25.018495,121.558834
TRTC-BR07,BR07,六張犁,106039臺北市大安區和平東路3段168號,False,25.02381,121.55301999999999
TRTC-BR08,BR08,科技大樓,106101臺北市大安區復興南路2段235號,False,25.026120000000002,121.543462
TRTC-BR09,BR09,大安,106097臺北市大安區信義路4段2號,False,25.033310999999998,121.54236999999999
TRTC-BR10,BR10,忠孝復興,106084臺北市大安區忠孝東路3段302號,False,25.041749,121.54502600000001
TRTC-BR11,BR11,南京復興,105020臺北市松山區南京東路3段253號,True,25.052044,121.544303
TRTC-BR12,BR12,中山國中,104079臺北市中山區復興北路376號,False,25.06085,121.544215
TRTC-BR13,BR13,松山機場,105008臺北市松山區敦化北路338號,False,25.062908,121.55201000000001
TRTC-BR14,BR14,大直,104044臺北市中山區北安路534之1號,False,25.07943,121.54678999999999
TRTC-BR15,BR15,劍南路,104051臺北市中山區北安路798號,False,25.08483,121.555582
TRTC-BR16,BR16,西湖,114066臺北市內湖區內湖路1段256號,False,25.082160000000002,121.567227
TRTC-BR17,BR17,港墘,114004臺北市內湖區內湖路1段663號,False,25.080070000000003,121.57516000000001
TRTC-BR18,BR18,文德,114053臺北市內湖區文德路214號,False,25.078454999999998,121.584999
TRTC-BR19,BR19,內湖,114049臺北市內湖區成功路4段186號,False,25.083675,121.59436299999999
TRTC-BR20,BR20,大湖公園,114041臺北市內湖區成功路5段11號,False,25.083804999999998,121.60221399999999
TRTC-BR21,BR21,葫洲,114046臺北市內湖區康寧路3段16號,False,25.07271,121.607146
TRTC-BR22,BR22,東湖,114056臺北市內湖區康寧路3段235號,False,25.067455,121.611535
TRTC-BR23,BR23,南港軟體園區,115018臺北市南港區經貿二路183號,False,25.05992,121.615
TRTC-BR24,BR24,南港展覽館,文湖線：115018臺北市南港區南港路1段32號,False,25.054919,121.61686100000001
TRTC-G01,G01,新店,231039新北市新店區北宜路1段2號,True,24.95761,121.53746000000001
TRTC-G02,G02,新店區公所,231634新北市新店區北新路1段295號,True,24.96744,121.5413
TRTC-G03,G03,七張,231007新北市新店區北新路2段150號,True,24.97545,121.54298500000002
TRTC-G04,G04,大坪林,23143新北市新店區北新路3段190號,False,24.98272,121.54133999999999
TRTC-G05,G05,景美,116056臺北市文山區羅斯福路6段216號,True,24.992824,121.540697
TRTC-G06,G06,萬隆,116060臺北市文山區羅斯福路5段214號,True,25.001978,121.53900800000001
TRTC-G07,G07,公館,100046臺北市中正區羅斯福路4段64之1號B1,True,25.014781,121.53435800000001
TRTC-G08,G08,台電大樓,100043臺北市中正區羅斯福路3段126之5號B1,True,25.020733,121.528143
TRTC-G09,G09,古亭,100032臺北市中正區羅斯福路2段164之1號B1,True,25.026373,121.52286799999999
TRTC-G10,G10,中正紀念堂,100207臺北市中正區羅斯福路1段8之1號B1?,True,25.032767,121.518273
TRTC-G11,G11,小南門,100057臺北市中正區愛國西路22號B1,True,25.035585,121.51088
TRTC-G12,G12,西門,100005臺北市中正區寶慶路32之1號B1,True,25.042025,121.508175
TRTC-G13,G13,北門,103005臺北市大同區塔城街10號,True,25.049554,121.51018400000001
TRTC-G14,G14,中山,103022臺北市大同區南京西路55號,True,25.052621,121.52036399999999
TRTC-G15,G15,松江南京,104092臺北市中山區松江路126號B1,True,25.052692999999998,121.53285
TRTC-G16,G16,南京復興,105020臺北市松山區南京東路3段253號,True,25.052044,121.544303
TRTC-G17,G17,台北小巨蛋,105037臺北市松山區南京東路4段10之1號,True,25.05152,121.552549
TRTC-G18,G18,南京三民,105062臺北市松山區南京東路5段237號,True,25.051588,121.56471
TRTC-G19,G19,松山,105057臺北市松山區八德路4段742號,True,25.050117999999998,121.577706
TRTC-G03A,G03A,小碧潭,231222新北市新店區中央路151號4樓,True,24.97188,121.53058
TRTC-O01,O01,南勢角,235050新北市中和區捷運路6號,True,24.990064999999998,121.50923700000001
TRTC-O02,O02,景安,23582新北市中和區景平路486號,False,24.993920000000003,121.50511399999999
TRTC-O03,O03,永安市場,235066新北市中和區中和路388號,True,25.002895000000002,121.511225
TRTC-O04,O04,頂溪,234016新北市永和區永和路2段168號B1,True,25.013858,121.51546200000001
TRTC-O05,O05,古亭,100032臺北市中正區羅斯福路2段164之1號B1,True,25.026373,121.52286799999999
TRTC-O06,O06,東門,10650臺北市大安區信義路2段166號B1,True,25.033894,121.52876599999999
TRTC-O07,O07,忠孝新生,106083臺北市大安區新生南路1段67號,True,25.042498000000002,121.53321000000001
TRTC-O08,O08,松江南京,104092臺北市中山區松江路126號B1,True,25.052692999999998,121.53285
TRTC-O09,O09,行天宮,104023臺北市中山區松江路316號B1,True,25.05924,121.53315
TRTC-O10,O10,中山國小,104028臺北市中山區民權東路1段71號B1,True,25.062665,121.52660900000001
TRTC-O11,O11,民權西路,103045臺北市大同區民權西路72號,True,25.06235,121.519585
TRTC-O12,O12,大橋頭,103041臺北市大同區民權西路223號B1,True,25.06322,121.513003
TRTC-O50,O50,三重國小,241054新北市三重區三和路3段5號B1,True,25.070275,121.49701
TRTC-O13,O13,台北橋,241454新北市三重區重新路1段108號B1,True,25.063075,121.500575
TRTC-O51,O51,三和國中,241080新北市三重區三和路4段107號B1,True,25.07646,121.486795
TRTC-O14,O14,菜寮,241007新北市三重區重新路3段150號B1,True,25.059451,121.491421
TRTC-O15,O15,三重,241012新北市三重區捷運路36號B1,True,25.05571,121.48422
TRTC-O52,O52,徐匯中學,247019新北市蘆洲區中山一路3號B1,True,25.080485,121.479945
TRTC-O53,O53,三民高中,247010新北市蘆洲區三民路105號B1,True,25.085425,121.47336499999999
TRTC-O16,O16,先嗇宮,241017新北市三重區重新路5段515號B1,True,25.04632,121.47165
TRTC-O54,O54,蘆洲,247011新北市蘆洲區三民路386號B1,True,25.091520000000003,121.46471000000001
TRTC-O17,O17,頭前庄,24251新北市新莊區思源路18號B1,False,25.039862,121.460479
TRTC-O18,O18,新莊,242008新北市新莊區中正路138號B1,True,25.03608,121.45218
TRTC-O19,O19,輔大,242062新北市新莊區中正路510之1號B1,True,25.03279,121.43573500000001
TRTC-O20,O20,丹鳳,242048新北市新莊區中正路624之1號B1,True,25.029073,121.422422
TRTC-O21,O21,迴龍,242052新北市新莊區中正路758號B1,True,25.022107000000002,121.41175700000001
TRTC-R02,R02,象山,110022臺北市信義區信義路5段152號B1,True,25.032395,121.57011599999998
TRTC-R03,R03,台北101/世貿,110013臺北市信義區信義路5段20號B1,True,25.032865,121.563667
TRTC-R04,R04,信義安和,106049臺北市大安區信義路4段212之1號B1,True,25.033015,121.55232600000001
TRTC-R05,R05,大安,106028臺北市大安區信義路3段180號B1,False,25.033310999999998,121.54236999999999
TRTC-R06,R06,大安森林公園,106008臺北市大安區信義路3段100號B1,True,25.033225,121.536151
TRTC-R07,R07,東門,106007臺北市大安區信義路2段166號B1,True,25.033894,121.52876599999999
TRTC-R08,R08,中正紀念堂,100207臺北市中正區羅斯福路1段8之1號B1?,True,25.032767,121.518273
TRTC-R09,R09,台大醫院,100006臺北市中正區公園路52號B1,True,25.041399,121.51602
TRTC-R10,R10,台北車站,100009臺北市中正區忠孝西路1段49號,False,25.046310000000002,121.51741499999999
TRTC-R11,R11,中山,103014臺北市大同區南京西路16號,True,25.052621,121.52036399999999
TRTC-R12,R12,雙連,103018臺北市大同區民生西路47號,True,25.057575,121.52068500000001
TRTC-R13,R13,民權西路,103045臺北市大同區民權西路72號,True,25.06235,121.519585
TRTC-R14,R14,圓山,103032臺北市大同區酒泉街9之1號,True,25.071409,121.520074
TRTC-R15,R15,劍潭,111011臺北市士林區中山北路5段65號,True,25.084201,121.524955
TRTC-R16,R16,士林,111012臺北市士林區福德路1號,True,25.093492,121.52623
TRTC-R17,R17,芝山,111031臺北市士林區福國路70號,True,25.102718,121.52254599999999
TRTC-R18,R18,明德,112038臺北市北投區明德路95號,True,25.109815,121.51878500000001
TRTC-R19,R19,石牌,112052臺北市北投區石牌路1段200號,True,25.114455,121.51557199999999
TRTC-R20,R20,唭哩岸,112025臺北市北投區東華街2段301號,True,25.120852,121.506234
TRTC-R21,R21,奇岩,112057臺北市北投區三合街2段489號,True,25.12547,121.50113999999999
TRTC-R22,R22,北投,112006臺北市北投區光明路1號,True,25.131819,121.498648
KRTC-R4,R4,高雄國際機場,高雄市小港區中山四路2之2號地下一樓,True,22.570166,120.34177199999999
KRTC-R4A,R4A,草衙,高雄市前鎮區翠亨南路555號地下一樓,True,22.580354,120.32856899999999
KRTC-R5,R5,前鎮高中,高雄市前鎮區翠亨北路225號地下一樓,True,22.588482,120.32168600000001
KRTC-R6,R6,凱旋,高雄市前鎮區中山三路1號地下一樓,True,22.596764,120.315119
KRTC-R7,R7,獅甲,高雄市前鎮區中山三路150號地下一層,True,22.606028,120.30815
KRTC-R8,R8,三多商圈,高雄市前鎮區中山二路268號地下一層,True,22.613979999999998,120.304588
KRTC-R9,R9,中央公園,高雄市前金區中山一路11號地下一層,True,22.624839,120.301212
KRTC-R10,R10,美麗島,高雄市新興區中山一路115號地下一樓,True,22.631393,120.301994
KRTC-R11,R11,高雄車站,高雄市三民區建國二路320號地下一層,True,22.639694,120.30270300000001
KRTC-R12,R12,後驛,高雄市三民區博愛一路220號地下一層,True,22.648495,120.30341299999999
KRTC-R13,R13,凹子底,高雄市鼓山區博愛二路21號地下一層,True,22.657268,120.30323899999999
KRTC-R14,R14,巨蛋,高雄市左營區博愛二路485號地下一層,True,22.666158,120.30336000000001
KRTC-R15,R15,生態園區,高雄市左營區博愛三路435號地下一層,True,22.676686,120.306619
KRTC-R16,R16,左營,高雄市左營區高鐵路107號地下一層,True,22.688376,120.30888700000001
KRTC-R17,R17,世運,高雄市楠梓區左楠路1號,True,22.701841,120.302531
KRTC-R18,R18,油廠國小,高雄市楠梓區左楠路6號,True,22.708872,120.302323
KRTC-R19,R19,楠梓加工區,高雄市楠梓區加昌路598號,True,22.718651,120.30724199999999
KRTC-R20,R20,後勁,高雄市楠梓區加昌路178號,True,22.722324,120.31636999999999
KRTC-R21,R21,都會公園,高雄市楠梓區高楠公路1835號,True,22.729529,120.32101399999999
KRTC-R22,R22,青埔,高雄市橋頭區經武路20號,True,22.744345000000003,120.31779499999999
KRTC-R22A,R22A,橋頭糖廠,高雄市橋頭區興糖路19號,True,22.753581,120.31458799999999
KRTC-R23,R23,橋頭火車站,高雄市橋頭區站前街12之1號,True,22.760741,120.310832
KRTC-R24,R24,南岡山,高雄市岡山區大遼里9鄰中山南路2號,True,22.780642,120.30188000000001
KLRT-C1,C1,籬仔內,,False,22.604625,120.324651
KLRT-C2,C2,凱旋瑞田,,False,22.599532999999997,120.319799
KLRT-C3,C3,前鎮之星,,False,22.595503,120.31536799999999
KLRT-C4,C4,凱旋中華,,False,22.593656,120.31051699999999
KLRT-C5,C5,夢時代,,False,22.594886,120.305004
KLRT-C6,C6,經貿園區,,False,22.600960999999998,120.30266
KLRT-C7,C7,軟體園區,,False,22.605684,120.300832
KLRT-C8,C8,高雄展覽館,,False,22.610132999999998,120.298022
KLRT-C9,C9,旅運中心,,False,22.611587,120.293424
KLRT-C10,C10,光榮碼頭,,False,22.616805,120.29323400000001
KLRT-C11,C11,真愛碼頭,,False,22.619315,120.28946599999999
KLRT-C12,C12,駁二大義,,False,22.618562,120.284204
KLRT-C13,C13,駁二蓬萊,,False,22.6205,120.279923
KLRT-C14,C14,哈瑪星,,False,22.621617,120.275849
KLRT-C15,C15,壽山公園站,五福四路與新樂街段,False,22.626541,120.278601
KLRT-C16,C16,文武聖殿站,大公路與鼓山一路口,False,22.62959,120.2807
KLRT-C17,C17,鼓山區公所站,興隆路與河川街103巷,False,22.635988,120.28256699999999
KLRT-C18,C18,鼓山,高雄市鼓山區鐵路街及鐵路街18巷,False,22.642037,120.281067
KLRT-C19,C19,馬卡道,高雄市鼓山區馬卡道路與華安街口,False,22.647089,120.281415
KLRT-C20,C20,臺鐵美術館,高雄市鼓山區馬卡道路與青海路口,False,22.652074,120.281669
KLRT-C21A,C21A,內惟藝術中心,高雄市鼓山區馬卡道路與美術館路口,False,22.65503,120.282902
KLRT-C21,C21,美術館,高雄市鼓山區美術館路與美術東二路口,False,22.655073,120.287198
KLRT-C22,C22,聯合醫院,高雄市鼓山區美術館路與中華一路,False,22.654791,120.29095
KLRT-C23,C23,龍華國小,高雄市鼓山區大順一路與龍德路口,False,22.654606,120.295223
KLRT-C24,C24,愛河之心,高雄市鼓山區大順一路與博愛一路口,False,22.656169000000002,120.30303799999999
KLRT-C32,C32,凱旋公園站,中正一路與河南路口（南凱旋公園內）,False,22.629468,120.322801
KLRT-C33,C33,衛生局站,凱旋二路與凱旋二路81巷,False,22.6252,120.3237
KLRT-C34,C34,五權國小站,凱旋二路與三多二路口,False,22.62121,120.3252
KLRT-C35,C35,凱旋武昌站,凱旋三路與武昌路口,False,22.61693,120.3269
KLRT-C36,C36,凱旋二聖站,凱旋三路與二聖路口,False,22.61253,120.3272
KLRT-C37,C37,輕軌機廠站,瑞西街與瑞北路口（輕軌機廠內）,False,22.6085,120.3261
