縣市代碼,縣市名稱,學校代碼,學校名稱,班級數7年級,班級數8年級,班級數9年級,學生數7年級男,學生數7年級女,學生數8年級男,學生數8年級女,學生數9年級男,學生數9年級女,上學年男畢業生,上學年女畢業生,男專任教師,女專任教師,男職員,女職員,lat,lng
11,臺南市,114539,市立後壁國中,3,3,3,31,23,20,25,29,24,28,25,8,17,2,4,23.354092,120.359707
11,臺南市,114540,市立菁寮國中,1,1,1,5,5,8,5,8,9,11,5,5,6,1,3,23.3684606,120.33256
11,臺南市,114543,市立大橋國中,15,17,16,214,224,237,222,236,226,222,223,41,74,2,10,23.0216463,120.2315349
11,臺南市,114544,市立沙崙國中,4,4,4,55,61,73,41,62,52,53,36,10,22,2,3,22.9296124,120.2819192
12,高雄市,121302,私立光禾華德福實驗學校(國中部),1,1,1,13,5,2,9,4,3,6,6,0,0,0,0,22.6080409,120.4270968
12,高雄市,121307,私立普門高中附設國中部,4,4,5,82,69,93,62,96,47,104,68,0,0,0,0,22.716617,120.446001
12,高雄市,121318,私立正義高中附設國中部,3,3,3,54,34,49,31,46,42,51,32,0,0,0,0,22.6025542,120.3397998
12,高雄市,121320,私立義大國際高中附設國中部,3,3,3,29,27,19,33,25,31,40,31,0,0,0,0,22.7283202,120.4055464
12,高雄市,123501,市立巴楠花部落國中(小),1,1,1,3,4,3,2,3,3,0,0,5,8,1,2,22.9648377,120.5395018
12,高雄市,124302,市立文山高中附設國中部,9,8,9,135,107,113,120,122,103,102,108,0,0,0,0,22.6484436,120.3535462
12,高雄市,124311,市立林園高中附設國中部,16,15,17,230,185,237,196,222,227,246,235,0,0,0,0,22.5137204,120.3945114
12,高雄市,124313,市立仁武高中附設國中部,7,9,8,83,85,122,99,116,102,110,106,0,0,0,0,22.7022904,120.3554411
12,高雄市,124322,市立路竹高中附設國中部,13,11,12,164,171,183,142,171,157,171,147,0,0,0,0,22.8552779,120.2523546
12,高雄市,124333,市立六龜高中附設國中部,3,2,2,18,14,18,15,25,25,26,39,0,0,0,0,22.993343,120.635442
12,高雄市,124340,市立福誠高中附設國中部,13,13,13,191,195,225,190,199,189,246,176,0,0,0,0,22.5903287,120.3241829
12,高雄市,124501,市立鳳山國中,21,21,21,271,293,311,265,330,276,318,320,41,115,3,13,22.624954,120.3721174
12,高雄市,124503,市立鳳西國中,17,18,17,253,219,260,243,256,193,242,225,38,93,3,12,22.624954,120.3721174
12,高雄市,124504,市立五甲國中,11,10,13,126,147,133,140,150,147,159,153,30,62,3,9,22.5981673,120.328659
12,高雄市,124505,市立鳳甲國中,17,17,17,243,215,251,239,259,215,241,232,39,88,3,10,22.616882,120.3425688
12,高雄市,124506,市立忠孝國中,4,4,4,32,30,39,23,40,21,43,32,11,23,2,4,25.051247,121.5082165
12,高雄市,124507,市立大寮國中,10,11,11,116,126,138,128,147,160,146,128,34,52,4,8,22.6034583,120.3928667
12,高雄市,124508,市立潮寮國中,2,2,2,21,22,24,26,26,24,25,18,11,14,3,3,22.5644496,120.4247143
12,高雄市,124509,市立大樹國中,6,7,7,81,64,78,99,92,81,82,112,19,37,2,6,22.6577132,120.4230721
12,高雄市,124510,市立溪埔國中,2,3,3,25,24,40,36,35,35,32,33,8,20,2,4,22.7190601,120.4435042
12,高雄市,124512,市立鳥松國中,3,3,2,37,15,25,34,21,28,27,30,11,12,4,2,22.6663324,120.3720353
12,高雄市,124514,市立大社國中,7,6,6,74,75,75,74,92,73,80,81,13,38,2,7,22.7306201,120.3567142
12,高雄市,124515,市立岡山國中,18,16,17,247,224,214,242,249,211,272,246,44,84,3,12,22.790828,120.3031924
12,高雄市,124516,市立前峰國中,11,11,10,158,135,154,138,143,149,168,120,38,46,1,9,22.7889384,120.2879124
12,高雄市,124517,市立永安國中,2,2,2,25,24,22,21,26,18,32,41,5,21,3,3,22.8233569,120.2403399
12,高雄市,124518,市立橋頭國中,9,9,9,135,100,114,110,139,108,133,122,21,52,2,7,22.7590798,120.307403
12,高雄市,124519,市立梓官國中,8,6,7,70,86,87,78,92,76,102,88,15,43,3,6,22.7624247,120.2634947
12,高雄市,124520,市立燕巢國中,3,5,6,39,33,67,58,60,61,66,65,10,26,1,6,22.785835,120.3625064
12,高雄市,124521,市立阿蓮國中,7,8,10,88,95,110,96,115,106,134,109,24,46,2,7,22.8850916,120.3258285
12,高雄市,124523,市立湖內國中,4,4,4,53,46,62,49,49,58,64,67,8,29,0,8,22.907885,120.22751
12,高雄市,124524,市立茄萣國中,6,6,7,75,75,70,76,75,69,84,68,19,34,3,7,22.9070887,120.1810957
12,高雄市,124525,市立田寮國中,1,1,1,8,5,13,11,9,6,10,12,6,8,1,2,22.863157,120.3601662
12,高雄市,124526,市立彌陀國中,5,5,6,67,54,53,63,59,68,52,47,10,35,3,4,22.7763249,120.2465854
12,高雄市,124527,市立旗山國中,9,9,11,98,133,120,122,133,129,146,141,29,52,3,7,22.8814503,120.4810926
12,高雄市,124528,市立圓富國中,2,2,2,20,10,19,15,19,9,20,23,9,14,1,4,22.9284154,120.5010606
12,高雄市,124529,市立大洲國中,1,1,1,6,5,6,9,12,8,10,11,5,8,1,2,22.835638,120.460497
12,高雄市,124530,市立美濃國中,4,4,5,54,38,53,28,52,52,66,42,17,20,3,5,22.8945406,120.5431778
12,高雄市,124531,市立南隆國中,3,3,4,44,33,36,42,46,46,51,54,12,20,2,4,22.866394,120.5345598
12,高雄市,124532,市立龍肚國中,2,2,2,16,10,8,24,13,16,17,17,9,14,3,3,22.8790179,120.5707985
12,高雄市,124534,市立寶來國中,1,1,1,10,9,6,7,6,8,10,12,6,9,2,2,23.1094321,120.7036045
12,高雄市,124535,市立杉林國中,2,2,2,19,17,15,17,19,19,20,21,12,13,1,4,22.9687263,120.541032
12,高雄市,124536,市立內門國中,2,2,2,16,11,24,15,21,23,22,24,13,10,2,4,22.9222431,120.4537867
12,高雄市,124537,市立甲仙國中,1,1,1,11,5,8,6,8,8,9,13,5,8,2,3,23.0810133,120.5919626
12,高雄市,124538,市立中芸國中,3,3,3,23,30,43,26,26,38,36,35,15,16,3,2,22.4858765,120.3953694
12,高雄市,124539,市立中庄國中,9,9,8,112,117,125,98,111,89,114,113,21,47,3,6,22.6364684,120.401749
12,高雄市,124541,市立蚵寮國中,2,2,3,23,33,29,24,34,25,21,28,10,10,3,3,22.7285495,120.2585692
12,高雄市,124542,市立那瑪夏國中,2,2,2,16,19,14,12,13,17,6,11,6,16,2,3,23.239841,120.697256
5,苗栗縣,50314,國立卓蘭高中附設國中部,3,3,4,23,39,39,31,41,31,44,48,0,0,0,0,24.312708,120.831961
5,苗栗縣,51302,私立君毅高中附設國中部,7,7,7,167,131,155,131,158,118,139,99,0,0,0,0,24.7010062,120.8830877
5,苗栗縣,51306,私立建台高中附設國中部,6,7,6,139,131,158,127,131,99,153,122,0,0,0,0,24.5602456,120.8149378
5,苗栗縣,51307,私立全人實驗高中附設國中部,1,1,1,6,3,4,1,3,4,8,7,0,0,0,0,24.3058986,120.8622756
5,苗栗縣,54308,縣立三義高中附設國中部,4,4,4,48,53,56,41,68,45,65,64,0,0,0,0,24.4090224,120.7655713
5,苗栗縣,54309,縣立苑裡高中附設國中部,9,10,11,141,110,133,125,125,154,118,124,0,0,0,0,24.438008,120.663488
5,苗栗縣,54317,縣立興華高中附設國中部,8,8,7,109,105,111,116,96,82,101,106,0,0,0,0,24.6858788,120.9363403
5,苗栗縣,54333,縣立大同高中附設國中部,3,2,3,35,26,34,27,39,37,29,28,0,0,0,0,22.678426,120.477654
5,苗栗縣,54501,縣立苗栗國中,6,4,5,44,38,33,38,39,42,25,53,18,30,1,5,24.5542379,120.8124939
5,苗栗縣,54502,縣立大倫國中,6,6,6,79,64,84,71,85,75,95,68,15,36,0,7,24.569831,120.830963
5,苗栗縣,54503,縣立明仁國中,14,15,15,177,193,200,192,226,193,199,180,38,79,2,9,24.5576,120.811701
5,苗栗縣,54504,縣立頭屋國中,4,4,4,47,25,52,24,40,24,40,22,18,15,0,4,24.5782239,120.8490437
5,苗栗縣,54505,縣立公館國中,9,9,9,130,127,130,109,120,107,129,115,24,48,2,6,24.498079,120.8278956
5,苗栗縣,54506,縣立鶴岡國中,2,2,3,16,13,22,16,25,17,25,23,4,15,1,2,24.5285794,120.8308554
5,苗栗縣,54507,縣立文林國中,4,4,5,35,35,53,41,50,42,50,38,6,30,2,3,24.489767,120.789545
5,苗栗縣,54510,縣立致民國中,3,4,5,34,18,36,34,47,48,55,46,10,23,0,6,24.4185187,120.6860649
5,苗栗縣,54511,縣立通霄國中,5,5,6,60,49,45,67,73,68,66,75,21,27,3,4,24.4919877,120.67998
5,苗栗縣,54512,縣立南和國中,1,1,1,8,6,0,7,4,5,11,6,2,10,0,4,24.446906,120.72119
5,苗栗縣,54513,縣立烏眉國中,3,2,2,14,15,21,14,28,29,34,19,4,18,0,3,24.5062915,120.7157749
5,苗栗縣,54514,縣立啟新國中,1,1,2,4,10,8,8,15,20,9,18,9,7,1,2,24.561079,120.713353
5,苗栗縣,54515,縣立西湖國中,2,1,2,15,11,8,9,18,15,20,16,7,9,0,3,24.556177,120.75774
5,苗栗縣,54516,縣立頭份國中,12,11,11,158,163,160,141,179,155,174,154,24,66,0,8,24.6914555,120.9012055
5,苗栗縣,54518,縣立文英國中,2,3,2,23,25,35,28,27,22,14,34,8,17,1,3,24.6562278,120.880795
5,苗栗縣,54519,縣立竹南國中,12,12,14,171,164,168,154,179,174,138,154,30,71,0,9,24.6848113,120.8760679
5,苗栗縣,54520,縣立照南國中,17,16,17,266,233,235,245,255,224,243,250,34,88,0,12,24.694254,120.877365
5,苗栗縣,54521,縣立三灣國中,1,2,2,10,11,19,18,20,17,24,12,6,14,1,2,24.6495538,120.9536484
5,苗栗縣,54522,縣立南庄國中,2,2,2,15,18,16,14,31,25,25,21,9,10,1,3,24.6004361,120.9994667
5,苗栗縣,54523,縣立造橋國中,2,2,1,22,15,17,17,15,12,19,19,6,15,1,2,24.6394481,120.8636532
5,苗栗縣,54524,縣立大西國中,1,1,2,10,14,14,13,24,13,20,23,6,10,2,1,24.624427,120.894748
5,苗栗縣,54525,縣立後龍國中,3,3,3,27,30,35,31,44,41,36,29,8,15,1,3,24.6166004,120.7845603
5,苗栗縣,54526,縣立維真國中,5,5,4,39,43,53,50,42,45,63,48,11,28,2,4,24.6121331,120.7945869
5,苗栗縣,54527,縣立大湖國中,1,2,2,6,15,16,18,24,16,9,10,9,11,0,2,24.4263934,120.8707982
5,苗栗縣,54528,縣立南湖國中,2,2,2,22,15,31,19,25,26,26,27,10,12,1,2,24.397253,120.867304
5,苗栗縣,54529,縣立獅潭國中,1,1,1,5,3,11,8,7,5,6,4,7,6,0,3,24.5445053,120.9228644
5,苗栗縣,54531,縣立泰安國中(小),1,1,1,8,4,11,2,5,3,5,10,4,7,1,3,24.422212,120.910496
5,苗栗縣,54532,縣立建國國中,12,12,14,149,131,157,143,159,159,135,147,25,68,2,6,24.9826898,121.3157472
5,苗栗縣,54534,縣立福興武術國中(小),2,2,2,18,7,23,10,16,7,21,5,7,10,2,3,24.425383,120.727704
5,苗栗縣,54535,縣立新港國中(小),3,3,3,39,35,36,26,41,32,35,26,11,14,1,4,23.5559483,120.3449036
6,臺中市,60323,國立中科實中附設國中部,5,5,5,72,56,59,67,75,58,67,60,0,0,0,0,24.2303236,120.6260535
6,臺中市,61301,私立常春藤高中附設國中部,2,2,2,33,45,36,41,37,31,46,23,0,0,0,0,24.195178,120.7178368
6,臺中市,61310,私立大明高中附設國中部,2,2,3,34,19,47,23,37,46,39,32,0,0,0,0,24.116227,120.685708
6,臺中市,61313,私立明道高中附設國中部,20,20,20,606,386,564,415,562,413,596,387,0,0,0,0,24.1068736,120.6361535
6,臺中市,61314,私立僑泰中學附設國中部,7,7,7,163,117,162,107,163,121,167,103,0,0,0,0,24.1117897,120.6669624
6,臺中市,61315,私立華盛頓高中附設國中部,6,6,6,147,98,149,120,148,111,150,101,0,0,0,0,24.1581869,120.74518
6,臺中市,61317,私立弘文高中附設國中部,8,8,8,227,155,223,170,217,160,220,153,0,0,0,0,24.2261308,120.704606
6,臺中市,61318,私立立人高中附設國中部,6,6,6,132,97,104,88,152,108,110,122,0,0,0,0,24.1057001,120.691521
6,臺中市,61322,私立華德福大地實驗教育學校國中部,1,1,1,7,5,6,5,14,7,3,3,0,0,0,0,24.1020885,120.6276741
6,臺中市,64521,市立溪南國中,4,5,4,35,28,47,37,40,35,35,34,15,18,2,4,24.0721933,120.6442611
6,臺中市,64522,市立霧峰國中,5,4,6,42,35,35,54,49,49,63,48,14,24,1,7,24.0673817,120.6888231
6,臺中市,64523,市立光復國中(小),10,10,10,151,131,151,129,141,122,150,109,30,43,4,6,24.0439315,120.6892654
6,臺中市,64525,市立太平國中,10,10,11,131,113,132,127,148,141,138,114,25,57,2,7,24.1482037,120.7345688
6,臺中市,64526,市立中平國中,9,9,10,93,102,126,85,100,89,101,104,25,51,3,6,25.0535488,121.4438365
6,臺中市,64527,市立石岡國中,4,5,6,37,36,58,41,54,38,53,51,16,27,2,6,24.266841,120.79648
6,臺中市,64529,市立東勢國中,11,12,14,148,118,151,157,169,166,165,141,31,63,3,7,24.250894,120.832342
1,新北市,14518,市立中和國中,13,13,13,148,150,163,147,150,151,154,166,28,73,1,11,24.9861361,121.5084083
1,新北市,14519,市立積穗國中,11,11,12,134,127,125,111,158,126,131,143,26,60,4,4,25.0003078,121.479696
1,新北市,14520,市立漳和國中,9,10,13,93,80,93,95,144,99,94,118,24,63,0,10,25.0026261,121.5055406
1,新北市,14521,市立鶯歌國中,21,20,20,248,249,271,242,259,264,256,244,43,106,2,11,24.9504628,121.3448645
1,新北市,14523,市立柑園國中,4,3,3,50,38,34,44,33,27,42,43,7,19,0,7,24.954675,121.384178
1,新北市,14524,市立土城國中,20,19,18,287,243,324,279,261,260,252,236,35,110,0,11,24.9628096,121.4295471
1,新北市,14525,市立三峽國中,21,22,19,274,260,318,269,285,240,256,272,48,102,3,10,24.939053,121.369127
1,新北市,14527,市立八里國中,5,5,6,67,46,61,63,60,50,56,49,14,35,0,8,25.1398858,121.400741
1,新北市,14528,市立泰山國中,8,8,10,132,87,126,94,111,140,109,90,23,44,0,8,25.0639896,121.4246015
1,新北市,14529,市立五股國中,14,13,13,146,136,169,130,188,144,175,167,23,78,1,10,25.082292,121.436015
1,新北市,14530,市立蘆洲國中,21,20,22,282,233,294,247,283,260,303,272,38,114,3,10,25.0869126,121.4665559
1,新北市,14531,市立林口國中,20,17,16,300,289,273,279,263,255,274,216,40,90,1,9,25.0762471,121.3775622
1,新北市,14533,市立汐止國中,9,8,10,110,95,83,78,115,108,101,106,23,45,2,7,25.0669566,121.6583371
1,新北市,14534,市立淡水國中,10,11,10,117,120,136,123,128,102,145,124,24,58,1,8,25.1749602,121.4366735
1,新北市,14536,市立三芝國中,6,6,7,67,65,63,76,78,71,72,82,18,31,3,5,25.259347,121.5018147
1,新北市,14537,市立石門實驗國中,2,2,2,19,7,20,13,17,7,16,15,7,14,2,1,25.2908277,121.5671383
1,新北市,14539,市立萬里國中,2,2,3,17,9,19,15,26,13,26,24,8,15,2,4,25.177796,121.694629
1,新北市,14540,市立坪林實驗國中,2,2,2,25,10,15,12,23,16,15,17,8,15,0,2,24.9350844,121.7107613
1,新北市,14541,市立文山國中,9,8,9,101,90,103,87,121,80,116,75,17,50,1,8,24.956705,121.538935
1,新北市,14542,市立五峰國中,13,13,13,133,167,153,142,199,136,132,139,22,76,4,7,24.9667222,121.5441602
1,新北市,14544,市立瑞芳國中,7,5,6,72,53,65,59,67,72,63,79,19,33,2,6,25.1079407,121.8149887
1,新北市,14545,市立欽賢國中,2,2,2,5,2,2,3,15,8,9,9,11,10,2,2,25.105223,121.845903
1,新北市,14546,市立貢寮國中,2,2,2,14,10,16,13,18,11,16,10,9,13,1,3,25.0656443,121.9018436
1,新北市,14549,市立深坑國中,5,6,6,59,49,66,63,76,74,74,54,17,25,1,7,25.00168,121.618296
1,新北市,14550,市立平溪國中,1,1,2,4,5,3,6,11,5,7,11,9,18,3,2,25.0239799,121.7334114
1,新北市,14551,市立烏來國中(小),1,1,1,3,1,6,3,5,7,9,4,3,13,1,5,24.8636951,121.5538264
1,新北市,14552,市立溪崑國中,21,21,24,294,282,312,288,348,324,327,293,57,101,2,12,24.996868,121.431494
1,新北市,14554,市立自強國中,9,9,10,129,121,114,117,112,108,120,95,20,51,0,9,24.9987911,121.4724939
1,新北市,14555,市立中正國中,21,21,21,285,211,262,273,272,249,262,256,41,109,2,10,25.0323588,121.5219754
1,新北市,14558,市立義學國中,14,16,18,186,166,232,208,258,197,262,198,34,86,2,10,25.0517424,121.431268
1,新北市,14559,市立中平國中,23,21,22,386,337,352,304,349,325,331,298,39,118,2,9,25.0535488,121.4438365
1,新北市,14560,市立鳳鳴國中,5,6,7,53,61,70,60,82,69,74,64,17,29,2,7,24.967511,121.331827
1,新北市,14561,市立三和國中,24,29,28,323,335,393,372,362,382,333,348,53,133,2,12,25.0763471,121.4867892
1,新北市,14565,市立尖山國中,5,5,5,64,38,73,48,63,57,66,57,11,28,0,6,24.9436969,121.3421559
1,新北市,14566,市立正德國中,19,20,19,245,265,257,267,298,244,272,248,40,101,1,11,25.1787337,121.4470473
1,新北市,14567,市立安溪國中,9,9,8,110,86,115,93,107,108,97,111,22,49,3,6,24.9266425,121.3728213
1,新北市,14569,市立育林國中,10,11,10,114,120,149,129,123,114,141,128,33,43,1,8,24.98532,121.415128
1,新北市,14570,市立青山國中(小),6,6,6,72,81,90,67,86,73,67,62,11,35,1,9,25.0611597,121.65666
1,新北市,14571,市立崇林國中,15,15,15,198,189,215,211,208,189,182,183,27,83,1,9,25.0684112,121.3701667
1,新北市,14572,市立二重國中,7,7,10,84,69,100,68,111,78,132,98,22,39,1,8,25.0658422,121.4800173
1,新北市,14573,市立大觀國中,12,13,12,133,161,168,152,148,146,130,133,23,67,1,7,25.0111472,121.4487222
1,新北市,14574,市立三多國中,11,11,12,137,130,157,127,165,142,156,129,33,52,4,6,25.0063705,121.4146724
1,新北市,14575,市立忠孝國中,11,10,10,130,86,119,122,123,115,124,96,25,53,1,7,25.051247,121.5082165
1,新北市,14576,市立鷺江國中,20,22,21,269,264,289,304,286,306,264,245,37,119,2,8,25.0903474,121.4620767
1,新北市,14577,市立桃子腳國中(小),7,7,7,116,86,117,94,116,98,107,117,11,42,0,11,24.948918,121.382898
1,新北市,14579,市立佳林國中,10,9,9,143,116,138,103,127,107,107,98,25,45,2,6,25.0813656,121.3845099
1,新北市,14580,市立達觀國中(小),10,10,10,132,101,130,107,151,118,119,138,24,51,3,6,24.9536053,121.5000233
2,宜蘭縣,21301,私立慧燈高中附設國中部,7,8,9,179,104,201,105,202,120,214,118,0,0,0,0,24.777028,121.7155386
2,宜蘭縣,21310,私立中道高中附設國中部,3,3,3,75,34,54,34,42,34,55,30,0,0,0,0,24.7597787,121.7937987
2,宜蘭縣,24322,縣立南澳高中附設國中部,3,3,3,21,14,20,27,32,26,31,23,0,0,0,0,24.465902,121.801868
2,宜蘭縣,24325,縣立慈心華德福教育實驗高中附設國中,4,4,3,47,57,49,37,38,36,40,35,0,0,0,0,24.6268113,121.795708
2,宜蘭縣,24501,縣立宜蘭國中,6,6,6,77,88,64,74,70,73,95,99,18,31,1,7,24.7619679,121.7585067
2,宜蘭縣,24502,縣立中華國中,13,11,12,184,154,148,146,178,154,177,140,25,62,1,8,24.7492271,121.7675113
2,宜蘭縣,24503,縣立復興國中,17,15,14,237,205,198,215,182,189,201,227,39,81,4,8,24.7490995,121.7468602
2,宜蘭縣,24504,縣立羅東國中,21,18,20,255,278,258,244,258,255,246,227,47,99,1,12,24.6718092,121.7674792
2,宜蘭縣,24505,縣立東光國中,7,7,7,94,88,94,93,94,95,96,118,22,35,2,6,24.6718092,121.7674792
2,宜蘭縣,24506,縣立國華國中,14,13,13,180,172,181,173,182,179,183,207,39,64,3,9,24.6778835,121.7615085
2,宜蘭縣,24507,縣立頭城國中,8,7,6,80,78,78,87,95,70,88,84,27,26,3,5,24.864216,121.8213207
2,宜蘭縣,24508,縣立蘇澳國中,5,4,3,39,39,42,35,35,35,48,46,20,14,3,4,24.595725,121.835978
2,宜蘭縣,24509,縣立文化國中,6,6,6,86,60,80,76,76,72,95,71,22,24,1,7,24.618119,121.833191
2,宜蘭縣,24510,縣立南安國中,2,1,1,9,16,10,12,9,14,13,17,9,4,2,1,24.5760282,121.8690009
2,宜蘭縣,24511,縣立三星國中,4,4,5,50,36,50,33,69,49,46,38,17,19,2,5,24.6677268,121.6539348
2,宜蘭縣,24512,縣立礁溪國中,5,5,6,58,48,60,64,68,65,60,54,13,31,3,5,24.8171752,121.7673427
